               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04588,            0.024593,            0.031451,             0.13787,             0.23124,             0.11816,            0.062584,            0.025466,           0.0067273,            0.022879,            0.070029,           0.0033302,           0.0033302
                   1,             0.03054,            0.019038,            0.030012,             0.15593,             0.49742,             0.16731,            0.098247,            0.020922,           0.0062124,            0.022255,            0.039963,           0.0065975,           0.0065975
                   2,            0.026978,            0.017673,            0.028593,             0.21226,             0.46249,             0.29092,             0.15889,            0.016611,           0.0056484,            0.019253,           0.0098306,           0.0097989,           0.0097989
                   3,            0.024821,            0.016568,             0.02351,             0.40036,             0.55207,             0.46057,             0.27639,            0.016421,           0.0054469,            0.014003,            0.009703,            0.009703,            0.009703
                   4,             0.02364,            0.016927,            0.018765,             0.48873,             0.55122,             0.52522,              0.2997,             0.01845,           0.0063039,           0.0098589,            0.009703,            0.009703,            0.009703
                   5,            0.023211,             0.01688,            0.016699,              0.5627,             0.65085,             0.61981,             0.37155,            0.014891,           0.0062831,            0.009126,            0.009604,            0.009604,            0.009604
                   6,            0.022049,            0.016491,            0.014825,             0.63509,             0.67881,             0.66502,             0.36341,            0.017439,           0.0056627,           0.0058419,            0.009505,            0.009505,            0.009505
                   7,            0.020442,            0.015622,            0.012976,             0.57384,             0.68897,             0.63043,             0.37642,            0.014455,           0.0056039,           0.0060489,            0.009406,            0.009406,            0.009406
                   8,            0.021356,            0.016092,            0.012479,             0.58259,             0.73002,             0.69738,             0.43413,            0.014567,           0.0052411,           0.0040678,            0.009307,            0.009307,            0.009307
                   9,            0.020273,            0.015925,             0.01181,             0.62188,             0.64577,             0.67765,             0.38438,            0.014695,           0.0052046,           0.0050083,            0.009208,            0.009208,            0.009208
                  10,            0.020181,             0.01583,            0.010274,             0.60735,             0.75103,              0.7446,             0.45571,            0.014575,           0.0049928,           0.0041796,            0.009109,            0.009109,            0.009109
                  11,            0.019291,            0.015245,           0.0098893,             0.70819,             0.72892,             0.76481,             0.47492,            0.013713,           0.0052944,           0.0034719,             0.00901,             0.00901,             0.00901
                  12,            0.018898,            0.015291,           0.0093124,             0.62457,               0.724,             0.70232,              0.4395,            0.014118,           0.0049405,           0.0034654,            0.008911,            0.008911,            0.008911
                  13,            0.018446,            0.015033,           0.0094902,             0.68968,             0.78855,             0.75172,             0.49572,            0.012574,           0.0047103,           0.0034149,            0.008812,            0.008812,            0.008812
                  14,            0.017955,            0.014677,           0.0094367,             0.62325,             0.71001,             0.69396,             0.43822,            0.013636,           0.0050025,            0.004092,            0.008713,            0.008713,            0.008713
                  15,            0.018393,            0.014863,           0.0076088,             0.63297,             0.78731,             0.74179,             0.47142,             0.01306,           0.0046967,           0.0037721,            0.008614,            0.008614,            0.008614
                  16,            0.027645,            0.014362,           0.0093363,              0.6766,             0.70285,             0.73523,             0.49247,            0.017374,           0.0046976,           0.0067835,            0.008515,            0.008515,            0.008515
                  17,            0.029535,             0.01492,             0.01015,             0.72971,             0.75062,             0.78011,             0.48977,            0.018626,             0.00512,           0.0040668,            0.009208,            0.009208,            0.009208
                  18,            0.031616,            0.015406,            0.012835,             0.74879,             0.75557,             0.77424,             0.51206,            0.017976,           0.0049826,           0.0069354,           0.0091585,           0.0091585,           0.0091585
                  19,             0.02944,            0.015038,           0.0099019,             0.73199,             0.81589,             0.80199,             0.53416,             0.01852,           0.0047854,           0.0034272,            0.009109,            0.009109,            0.009109
                  20,            0.029198,            0.014793,           0.0097202,              0.6215,             0.74981,             0.71135,             0.46583,            0.017887,           0.0052201,           0.0041724,           0.0090595,           0.0090595,           0.0090595
